Array Size;Selection 0-5;Selection 0-4000;Selection almost;Selection reversed;Bubble 0-5;Bubble 0-4000;Bubble almost;Bubble reversed;Bubble_1 0-5;Bubble_1 0-4000;Bubble_1 almost;Bubble_1 reversed;Bubble_1+2 0-5;Bubble_1+2 0-4000;Bubble_1+2 almost;Bubble_1+2 reversed;Insertions 0-5;Insertions 0-4000;Insertions almost;Insertions reversed;Binary Insertions 0-5;Binary Insertions 0-4000;Binary Insertions almost;Binary Insertions reversed;Counting 0-5;Counting 0-4000;Counting almost;Counting reversed;Digit 0-5;Digit 0-4000;Digit almost;Digit reversed;Merge 0-5;Merge 0-4000;Merge almost;Merge reversed;Quick 0-5;Quick 0-4000;Quick almost;Quick reversed;Heap 0-5;Heap 0-4000;Heap almost;Heap reversed;Shell Ciura 0-5;Shell Ciura 0-4000;Shell Ciura almost;Shell Ciura reversed;Shell 0-5;Shell 0-4000;Shell almost;Shell reversed;
1200;2332579;2388983;2315950;2467866;5536974;5836320;2309541;5443775;5700791;6054104;8329;5557533;4964337;5395558;6775;5220699;2196854;2642037;6070;5237254;831091;1023041;34137;1849358;89729;85633;85929;85620;78283;75050;75079;75191;140020;171504;109012;107570;331096;153712;1410979;1517546;160275;193979;180021;166420;2302833;2761575;36279;5458833;100754;204791;45921;89575;
1300;2742991;2795512;2714441;2859570;6526058;6834770;2708154;6372316;6730812;7086637;9004;6519608;5877658;6284637;7375;6129249;2584204;3053829;6562;6132241;969758;1177329;37491;2164954;90820;87612;87595;87891;82508;80479;80829;80487;152900;187512;118904;117108;380229;166370;1654149;1778504;173875;214008;198187;184975;2705891;3199008;39620;6366875;105470;229300;49983;98112;
1400;3166837;3240120;3144308;3321129;7550729;8021849;3139420;7370029;7755954;8264995;9671;7553225;6817379;7341916;7908;7099537;2962058;3585816;7054;7122120;1105679;1367279;40753;2506849;95487;90054;89595;89583;88062;86262;86020;85995;169079;205475;130300;127450;438216;181533;1917137;2061054;190929;231458;214008;197783;3106562;3728183;43087;7372654;113291;248154;53554;106458;
1500;3638983;3744054;3647633;3905762;8898741;9338395;3647166;8548196;9005824;9617174;12437;8902991;7950091;8526720;8491;8272250;3451387;4134425;7837;8213587;1267845;1560083;44145;2895545;92295;91562;92008;95629;91704;92033;94720;91437;178245;222341;138775;136400;499762;198062;2211541;2376629;207212;258379;230970;213775;3580550;4280654;46449;8525966;107916;254183;60520;117825;
1600;4155883;4228187;4135062;4350229;10036658;10495050;4136466;9677670;10311870;10881324;11050;9924812;9130254;9682770;9079;9333291;3915058;4623675;8045;9361487;1449329;1750579;47420;3296466;97854;96070;93887;94162;100058;96895;103104;99266;191654;238600;150937;146783;564804;214358;2518216;2700229;226404;270241;260808;228962;4078450;4804999;49825;9722058;144720;313079;61600;119929;
1700;4691204;4782599;4688133;4905250;11336999;11844500;4660533;10930920;11642479;12248741;11720;11239300;10261224;11049079;9649;10542025;4403116;5218470;8558;10557671;1629170;1971354;50837;3707449;101553;95783;95704;95512;102662;106270;103008;102358;205799;262058;162921;159529;630391;227541;2849354;3060033;236279;291925;268266;250641;4596000;5440691;53283;10948983;130904;297162;64991;131491;
1800;5286774;5353000;5223570;5507599;12707716;13289987;5216616;12241362;13079295;13690087;12429;12559304;11573999;12306174;10220;11837029;4927004;5853858;9058;11844737;1817829;2199696;54195;4162937;99462;97945;97633;98170;111945;107887;110845;108100;217266;274171;169095;164783;707604;247837;3181758;3423795;252737;316162;282162;269133;5148812;6090654;56920;12298708;141058;394795;68762;143070;
1900;5858725;5947558;5828246;6130921;14164854;14748029;5807008;13660587;14525795;15304229;13108;13993641;12912154;13700708;10779;13163808;5584312;6558499;9533;13204258;2045408;2457070;57500;4633000;105075;99766;99833;101287;114275;113570;113825;113275;232795;287787;180495;180300;778525;258933;3586620;3794287;267783;327733;303787;278516;5812950;6815816;62687;13687137;145433;335120;73070;152383;
2000;6486962;6597425;6445620;6775516;15737620;16373191;6446304;15158425;16126554;16945496;13816;15488170;14405791;15450862;11366;14725237;6169562;7247516;10854;14695045;2254566;2691316;61875;5145620;102654;101683;101429;102537;118895;119016;119150;121658;245274;304950;196175;190404;847562;281133;3915437;4214662;282175;353804;318129;294604;6436712;7520933;64537;15149425;163208;366770;76549;163220;
2100;7158379;7291204;7106916;7474041;17474900;18185075;7106274;16675579;17825071;18835120;14487;17117816;15867704;16880262;11929;16109158;6846041;7965354;10570;16136495;2492354;2972758;65100;5654091;110537;103416;105654;105850;126666;124524;124575;130312;256675;327691;205458;196358;935862;303383;4324749;4641221;295258;371820;339049;312958;7120720;8281054;68379;16677054;171229;421570;89000;162054;
2200;7842004;7955125;7800820;8232879;19179845;19954733;7796416;18277637;19635987;20636125;15154;18779604;17623841;18576079;12512;17679187;7494866;8722099;11075;17716695;2736604;3239212;69604;6214954;108933;105354;105841;109279;133391;129946;129820;129695;273908;340224;218012;209499;1031191;311454;4736621;5091700;313333;387529;357750;329424;7811216;9057679;72233;18323104;182908;404108;93374;178266;
2300;8574487;8689012;8555412;8963012;20965104;21840266;8516333;20002004;21419883;22588462;15862;20520870;19180816;20361820;13083;19330525;8138308;9501546;11570;19342708;2962912;3527925;72270;6771008;112404;113575;107804;107641;138137;138937;135524;135316;286458;359883;222883;222404;1114800;343250;5176829;5572374;329249;407691;374137;351979;8485874;9861062;76008;20033479;180808;416395;97604;206933;
